Movie	Release_date	Language	Runtime	Budget	Revenue
Burning Bright	August 17, 2010	 English	1h 29m		
Burning Bright	August 17, 2010	 English	1h 29m		
American Reunion	April  6, 2012	 English	1h 53m	$50,000,000.00	$234,989,584.00
Underworld: Awakening	January 19, 2012	 English	1h 28m	$70,000,000.00	$160,112,671.00
Flight	November  2, 2012	 English	2h 18m	$31,000,000.00	$161,772,375.00
Lawless	August 29, 2012	 English	1h 55m	$26,000,000.00	$53,676,580.00
Safe House	February 10, 2012	 English	1h 55m	$85,000,000.00	$208,076,205.00
John Carter	February 22, 2012	 English	2h 12m	$260,000,000.00	$284,139,100.00
The Dictator	May 16, 2012	 English	1h 23m	$65,000,000.00	$179,379,533.00
Chronicle	February  2, 2012	 English	1h 24m	$15,000,000.00	$145,000,000.00
The Scorpion King 3: Battle for Redemption	January 17, 2012	 English	1h 46m	$5,000,000.00	
Cloud Atlas	October 26, 2012	 English	2h 52m	$102,000,000.00	$130,482,868.00
Total Recall	August  3, 2012	 English	2h 1m	$125,000,000.00	$198,802,074.00
Seeking a Friend for the End of the World	June 22, 2012	 English	1h 41m	$10,000,000.00	$9,636,289.00
Zero Dark Thirty	December 19, 2012	 English	2h 37m	$40,000,000.00	$132,820,716.00
Tutto tutto niente niente	November 30, 2012	 Italian		$5,579,750.00	$8,927,600.00
The Vow	February 10, 2012	 English	1h 44m	$30,000,000.00	$196,114,570.00
This Means War	February 17, 2012	 English	1h 43m	$65,000,000.00	$156,974,557.00
ParaNorman	August 17, 2012	 English	1h 30m	$60,000,000.00	$107,139,399.00
My Way	April 16, 2012	 French	2h 28m	$27,563,396.00	$29,193,330.00
Wolf Children	July 21, 2012	 Japanese	1h 57m		
Dredd	September 21, 2012	 English	1h 35m	$50,000,000.00	$41,037,742.00
Dredd	September 21, 2012	 English	1h 35m	$50,000,000.00	$41,037,742.00
Secret of the Wings	August 31, 2012	 English	1h 32m		
Alex Cross	October 18, 2012	 English	1h 41m	$45,000,000.00	$30,353,232.00
Ruby Sparks	July 25, 2012	 English	1h 44m		$9,128,263.00
An American Girl: McKenna Shoots for the Stars	July 14, 2012	 English	1h 25m		
The Five-Year Engagement	April 27, 2012	 English	2h 4m	$30,000,000.00	$53,909,751.00
Magic Mike	June 29, 2012	 English	1h 50m	$7,000,000.00	$167,221,571.00
Stuck in Love	July  5, 2013	 English	1h 37m		$81,071.00
The Impossible	December  4, 2012	 English	1h 53m	$42,000,000.00	$180,274,123.00
Fire with Fire	August 31, 2012	 English	1h 37m	$20,000,000.00	$4,636,169.00
People Like Us	June 29, 2012	 English	1h 54m	$16,000,000.00	$12,434,778.00
The Master	September 14, 2012	 English	2h 17m	$32,000,000.00	$28,258,060.00
The First Time	October 19, 2012	 English	1h 35m		$22,836.00
Journey 2: The Mysterious Island	February 10, 2012	 English	1h 34m	$79,000,000.00	$355,692,760.00
LOL	May  4, 2012	 English	1h 37m	$11,000,000.00	
Contraband	January 13, 2012	 English	1h 49m	$25,000,000.00	$63,100,000.00
Batman: The Dark Knight Returns, Part 1	September 25, 2012	 English	1h 16m	$3,500,000.00	
The Iceman	September  1, 2012	 English	1h 45m	$20,000,000.00	$1,969,193.00
Sinister	March 11, 2012	 English	1h 50m	$3,000,000.00	$77,712,439.00
What to Expect When You're Expecting	May 18, 2012	 English	1h 50m	$40,000,000.00	$79,700,000.00
The Possession	August 31, 2012	 English	1h 32m	$14,000,000.00	$85,446,075.00
The Possession	August 31, 2012	 English	1h 32m	$14,000,000.00	$85,446,075.00
Red Dawn	November 21, 2012	 English	1h 33m	$65,000,000.00	$44,806,783.00
Robot & Frank	January 20, 2012	 English	1h 25m	$2,500,000.00	$3,325,038.00
Taken 2	October  4, 2012	 English	1h 31m	$45,000,000.00	$376,141,306.00
Wrath of the Titans	March 29, 2012	 English	1h 39m	$150,000,000.00	$301,000,000.00
No	February 15, 2013	 Castilian	1h 58m		$2,341,226.00
Rock of Ages	June 15, 2012	 English	2h 3m	$75,000,000.00	$59,418,613.00
One Piece Film Z	December 15, 2012	 Japanese	1h 48m		
Dark Shadows	May 11, 2012	 English	1h 53m	$150,000,000.00	$245,527,149.00
The Snow Queen	December 31, 2012	 Russian	1h 16m	$7,000,000.00	$12,400,000.00
Stolen	September 14, 2012	 English	1h 36m	$35,000,000.00	$2,106,557.00
End of Watch	September 21, 2012	 English	1h 49m	$7,000,000.00	$48,126,384.00
Hit & Run	August 22, 2012	 English	1h 40m	$2,000,000.00	$14,400,000.00
Gone	February 24, 2012	 English	1h 34m		$18,100,189.00
Starship Troopers: Invasion	August 28, 2012	 English	1h 29m		
Playing for Keeps	December  7, 2012	 English	1h 46m	$35,000,000.00	
The Hunt	December 20, 2012	 Danish	1h 56m	$3,800,000.00	$18,309,793.00
Killing Them Softly	November 30, 2012	 English	1h 37m	$15,000,000.00	$37,930,465.00
The Pirates! In an Adventure with Scientists!	April 27, 2012	 English	1h 28m	$60,000,000.00	$118,338,361.00
Cockneys vs Zombies	August  2, 2013	 English	1h 28m		
Man on a Ledge	January 27, 2012	 English	1h 42m	$42,000,000.00	$46,221,189.00
Man on a Ledge	January 27, 2012	 English	1h 42m	$42,000,000.00	$46,221,189.00
The Woman in Black	February  3, 2012	 English	1h 35m	$17,000,000.00	$127,730,736.00
Ernest & Celestine	February 28, 2014	 French	1h 18m	$12,516,654.00	$8,109,160.00
Beasts of the Southern Wild	June 29, 2012	 English	1h 33m	$1,800,000.00	$21,107,746.00
This Is 40	December 21, 2012	 English	2h 14m	$35,000,000.00	$88,058,786.00
Berserk: The Golden Age Arc 1 - The Egg of the King	February  3, 2012	 Japanese	1h 16m		
House With A Nice View	October 25, 2012	 Korean	1h 32m		
Iron Sky	March 10, 2012	 English	1h 33m	$7,500,000.00	$8,135,031.00
Resident Evil: Damnation	September 25, 2012	 English	1h 40m		
Savages	July  6, 2012	 English	2h 11m	$45,000,000.00	$82,966,152.00
Diary of a Wimpy Kid: Dog Days	August  3, 2012	 English	1h 34m	$10,000,000.00	
Here Comes the Boom	October 12, 2012	 English	1h 45m		$73,100,172.00
Seven Psychopaths	October 12, 2012	 English	1h 50m	$15,000,000.00	$33,035,736.00
The Suicide Shop	September 26, 2012	 French	1h 20m		
Abraham Lincoln: Vampire Hunter	June 22, 2012	 English	1h 34m	$69,000,000.00	$37,519,974.00
Red Lights	July 12, 2012	 English	1h 59m	$14,000,000.00	$13,551,174.00
The Raven	April 27, 2012	 English	1h 51m	$26,000,000.00	$29,657,751.00
Upside Down	March 14, 2013	 English	1h 44m	$60,000,000.00	$8,106,475.00
Lockout	April 13, 2012	 English	1h 35m	$20,000,000.00	$32,204,030.00
Rurouni Kenshin	December 14, 2012	 Japanese	2h 14m		$61,700,000.00
Chernobyl Diaries	May 25, 2012	 English	1h 28m		$18,112,929.00
Chernobyl Diaries	May 25, 2012	 English	1h 28m		$18,112,929.00
Lincoln	November 16, 2012	 English	2h 29m	$65,000,000.00	$275,293,450.00
To Rome with Love	June 22, 2012	 English	1h 51m	$17,000,000.00	$73,244,881.00
Lightning Strike	December 13, 2012	 Italian			
Aftershock	May 10, 2013	 Castilian	1h 29m	$2,000,000.00	$58,510.00
Disconnect	April 12, 2013	 English	1h 55m	$10,000,000.00	$3,428,048.00
HOUBA! On the Trail of the Marsupilami	April  3, 2012	 French	1h 45m	$50,000,000.00	$48,600,000.00
Home Alone: The Holiday Heist	November 25, 2012	 English	1h 27m		
Justice League: Doom	February 28, 2012	 English	1h 17m		
Piranha 3DD	June  1, 2012	 English	1h 23m	$5,000,000.00	$8,493,728.00
Frankenweenie	September 20, 2012	 English	1h 27m	$39,000,000.00	$35,287,788.00
[REC]³ Genesis	March  9, 2012	 Castilian	1h 20m		$10,158,000.00
Rust and Bone	November 23, 2012	 French	2h 3m	$15,400,000.00	$25,762,027.00
Jan Dara: The Beginning	November 27, 2016	 Thai	2h 0m		
Premium Rush	August 24, 2012	 English	1h 31m	$35,000,000.00	$31,083,599.00
Universal Soldier: Day of Reckoning	November 30, 2012	 English	1h 54m	$11,500,000.00	$1,402,307.00
Hope Springs	August  7, 2012	 English	1h 40m	$30,000,000.00	$114,281,051.00
Hitchcock	November 23, 2012	 English	1h 38m		$23,570,541.00
Chasing Mavericks	October 26, 2012	 English	1h 57m		
Masquerade	September 21, 2012	 Korean	2h 11m		
Get the Gringo	May  1, 2012	 English	1h 35m	$35,000,000.00	
Get the Gringo	May  1, 2012	 English	1h 35m	$35,000,000.00	
About Cherry	September 21, 2012	 English	1h 42m	$2,500,000.00	$3,003.00
Anna Karenina	November 16, 2012	 English	2h 10m		$68,929,150.00
The Magic of Belle Isle	July  6, 2012	 English	1h 49m		$102,388.00
Farewell, My Queen	July 13, 2012	 French	1h 40m		$5,297,232.00
40 Days and Nights	December 15, 2012	 English	1h 30m		
Lore	February  8, 2013	 German	1h 48m		
Cirque du Soleil: Worlds Away	December 21, 2012	 English	1h 31m		$34,153,101.00
The Odd Life of Timothy Green	August 15, 2012	 English	1h 45m		$51,854,875.00
House at the End of the Street	September 21, 2012	 English	1h 41m	$6,900,000.00	$44,287,131.00
The Cold Light of Day	September  6, 2012	 English	1h 33m	$20,000,000.00	$16,863,583.00
The Body	November 12, 2012	 Castilian	1h 48m		
Trouble with the Curve	September 21, 2012	 English	1h 51m		
A Thousand Words	March  8, 2012	 English	1h 31m	$40,000,000.00	$22,044,277.00
Project X	March  2, 2012	 English	1h 28m	$12,000,000.00	$100,000,000.00
360	August  3, 2012	 English	1h 50m		$1,663,931.00
Blue Lagoon: The Awakening	June 16, 2012	 English	1h 25m		
The Factory	October 19, 2012	 English	1h 48m	$25,000,000.00	
Paperman	November  2, 2012	 English	0h 7m		
For a Good Time, Call...	August 31, 2012	 English	1h 25m	$850,000.00	$1,243,961.00
Chained	October  2, 2012	 English	1h 34m		
Chained	October  2, 2012	 English	1h 34m		
Outrage Beyond	January  3, 2014	 Japanese	1h 50m		$16,215,856.00
Tad, the Lost Explorer	June 28, 2013	 Castilian	1h 30m	$10,500,000.00	$23,000,000.00
After Porn Ends	May 21, 2012	 English	1h 30m	$400,000.00	
Amour	December 19, 2012	 French	2h 7m	$8,900,000.00	$29,844,753.00
Goon	February 24, 2012	 English	1h 32m		$6,483,963.00
Twice Born	December  5, 2013	 Italian	2h 7m	$13,000,000.00	$18,295.00
Maggie Simpson in The Longest Daycare	July 12, 2012	 English	0h 5m		
The Imposter	July 13, 2012	 English	1h 39m		
The Watch	July 27, 2012	 English	1h 38m	$68,000,000.00	$68,267,862.00
Erased	May 17, 2013	 English	1h 40m	$12,000,000.00	
Joyful Noise	January 13, 2012	 English	1h 57m		
Quartet	January 10, 2013	 English	1h 38m	$11,000,000.00	$59,520,298.00
Wanderlust	February 24, 2012	 English	1h 38m	$35,000,000.00	$24,159,934.00
Berserk: The Golden Age Arc 2 - The Battle for Doldrey	June 23, 2012	 Japanese	1h 38m		
Gangs of Wasseypur - Part 1	June 22, 2012	 Hindi	2h 40m	$1,400,000.00	$4,100,000.00
Chinese Zodiac	October 18, 2013	 Cantonese	1h 49m	$48,000,000.00	
Maniac	June 21, 2013	 English	1h 29m	$6,000,000.00	$31,081.00
Being Flynn	March  2, 2012	 English	1h 42m		$540,152.00
Dark Tide	March 30, 2012	 English	1h 53m	$25,000,000.00	$432,274.00
A Turtle's Tale 2: Sammy's Escape from Paradise	August 15, 2012	 English	1h 32m		
A Turtle's Tale 2: Sammy's Escape from Paradise	August 15, 2012	 English	1h 32m		
The Collection	September 21, 2012	 English	1h 34m		$6,842,058.00
Journey to the Christmas Star	November  9, 2012	 Norwegian	1h 20m	$5,000,000.00	
Silent Night	November 30, 2012	 English	1h 34m		$14,567.00
Les Misérables	December 25, 2012	 English	2h 37m	$61,000,000.00	$441,809,770.00
Turkish for Beginners	April  4, 2012	 German	1h 45m		
Love Is All You Need	October 10, 2012	 Danish	1h 56m	$5,500,000.00	$10,016,934.00
Liberal Arts	January 22, 2012	 English	1h 37m		$327,345.00
Bad Ass	April 13, 2012	 English	1h 30m		
Arthur Newman	April 26, 2013	 English	1h 41m		
Holy Motors	October 17, 2012	 French	1h 55m		$641,100.00
Le grand soir	June  6, 2012	 French	1h 32m		
A Royal Affair	November  9, 2012	 Danish	2h 17m	$8,000,000.00	$7,594,693.00
7 Boxes	February  7, 2014	 Castilian	1h 40m		
Safety Not Guaranteed	June  8, 2012	 English	1h 25m	$750,000.00	$4,007,792.00
Ginger & Rosa	February  1, 2013	 English	1h 29m		$1,005,700.00
John Dies at the End	January 23, 2012	 English	1h 39m		
Grabbers	July 19, 2013	 English	1h 34m		
Diaz - Don't Clean Up This Blood	April 13, 2012	 Italian	2h 7m	$6,453,637.00	$1,800,000.00
Brake	March 23, 2012	 English	1h 32m		
The Company You Keep	April  4, 2013	 English	2h 1m		$19,633,027.00
The Company You Keep	April  4, 2013	 English	2h 1m		$19,633,027.00
The Broken Circle Breakdown	November  1, 2012	 Flemish	1h 52m		$5,475,058.00
Great Expectations	November  8, 2013	 English	2h 8m		$258,656.00
Arbitrage	September 14, 2012	 English	1h 40m	$12,000,000.00	$35,485,056.00
On the Road	December 21, 2012	 English	2h 17m	$25,000,000.00	$8,784,318.00
Much Ado About Nothing	June  7, 2013	 English	1h 47m		
Byzantium	June 28, 2013	 English	1h 58m	$10,000,000.00	$89,237.00
Populaire	September  6, 2013	 French	1h 51m		
Marvel One-Shot: Item 47	September 25, 2012	 English	0h 12m		
Berberian Sound Studio	August 30, 2012	 English	1h 32m		
Fly Me to the Moon	November 11, 2012	 French	1h 44m		
A Hijacking	August  4, 2012	 Danish	1h 43m		
Red Tails	January 11, 2012	 English	2h 5m	$58,000,000.00	$50,365,377.00
Transit	May 11, 2012	 English	1h 28m	$5,000,000.00	
Think Like a Man	February 10, 2012	 English	2h 2m	$12,000,000.00	$96,070,507.00
Smiley	October 12, 2012	 English	1h 30m		
Kahaani	March  8, 2012	 Hindi	2h 2m	$1,200,000.00	$16,000,000.00
So Undercover	January  1, 2012	 English	1h 34m		
Asterix & Obelix: God Save Britannia	October 17, 2012	 French	1h 50m	$61,000,000.00	
Seal Team Six: The Raid on Osama Bin Laden	November  4, 2012	 English	1h 30m		
Laurence Anyways	June 28, 2013	 French	2h 48m	$9,500,000.00	$12,250.00
Laurence Anyways	June 28, 2013	 French	2h 48m	$9,500,000.00	$12,250.00
A Fantastic Fear of Everything	February  6, 2014	 English	1h 40m		
Big Miracle	February  3, 2012	 English	1h 47m	$40,000,000.00	$24,719,215.00
One for the Money	January 27, 2012	 English	1h 31m	$40,000,000.00	$36,893,721.00
Moonrise Kingdom	May 25, 2012	 English	1h 34m	$16,000,000.00	$68,263,166.00
A Magnificent Haunting	March 16, 2012	 Italian	1h 45m		
Truth or Dare	August  6, 2012	 English	1h 35m		
Black Rock	January 21, 2012	 English	1h 23m		
Mac & Devin Go to High School	July  3, 2012	 English	1h 15m		
Superman vs. The Elite	June 12, 2012	 Russian	1h 16m	$3,500,000.00	
Deadfall	December  7, 2012	 English	1h 35m	$12,000,000.00	$66,351.00
Captive	September  5, 2012	 English	2h 0m	$11,180.00	$24,591.00
Apartment 1303 3D	July 25, 2013	 English	1h 41m	$5,000,000.00	
Paranormal Activity 4	October 19, 2012	 English	1h 35m	$5,000,000.00	$142,817,992.00
The Samaritan	May 17, 2012	 English	1h 30m	$12,000,000.00	$2,521.00
The Sessions	October 18, 2012	 English	1h 38m	$1,000,000.00	$9,138,338.00
That's My Boy	June 15, 2012	 English	1h 56m	$70,000,000.00	$58,058,367.00
Cleanskin	March  9, 2012	 English	1h 48m		
The Angels' Share	June 27, 2012	 English	1h 41m		$7,034,007.00
Haute Cuisine	September 19, 2013	 French	1h 35m		$11,384,015.00
Porn in the Hood	July 11, 2012	 French	1h 38m		$103,504.00
Porn in the Hood	July 11, 2012	 French	1h 38m		$103,504.00
Bachelorette	September  6, 2012	 English	1h 27m	$3,000,000.00	$11,947,954.00
Excision	November  2, 2012	 English	1h 21m		
The Punisher: Dirty Laundry	July 16, 2012	 English	0h 10m		
The Baytown Outlaws	January 29, 2013	 English	1h 38m	$4,000,000.00	
Gambit	April 25, 2014	 English	1h 29m		
The Battery	October 13, 2012	 English	1h 41m	$6,000.00	
The Bay	November  2, 2012	 English	1h 24m		$30,668.00
Shadow Dancer	May 31, 2013	 English	1h 41m	$6,300,000.00	$419,953.00
Bel Ami	June  8, 2012	 English	1h 42m	$9,000,000.00	$8,303,261.00
Now Is Good	May 25, 2012	 English	1h 43m		$2,699,265.00
The Brass Teapot	April  5, 2013	 English	1h 40m		
American Mary	May 31, 2012	 English	1h 38m		
Barbie: The Princess & The Popstar	September 30, 2012	 English	1h 26m		
Katy Perry: Part of Me	July  5, 2012	 English	1h 33m	$12,000,000.00	$32,726,956.00
The Act of Killing	August 31, 2012	 Indonesian	1h 55m	$1,000,000.00	$444,575.00
Fun Size	October 26, 2012	 English	1h 27m	$14,000,000.00	$11,417,362.00
A Christmas Wedding Date	December  2, 2012	 English	1h 22m		
Wadjda	September 13, 2013	 Arabic	1h 38m		$1,347,747.00
Grave Encounters 2	October 12, 2012	 English	1h 35m		
The Lords of Salem	April 19, 2013	 English	1h 41m	$1,500,000.00	$1,165,882.00
The Lords of Salem	April 19, 2013	 English	1h 41m	$1,500,000.00	$1,165,882.00
The Sweeney	March  1, 2013	 English	1h 52m	$3,730,500.00	$6,294,161.00
Celeste & Jesse Forever	August  3, 2012	 English	1h 31m		$3,094,813.00
Puss in Boots: The Three Diablos	February 24, 2012	 English	0h 13m		
Act of Valor	February 24, 2012	 English	1h 50m	$12,000,000.00	$81,272,766.00
The Words	September  7, 2012	 English	1h 36m	$6,000,000.00	$13,231,461.00
The Thieves	October 12, 2012	 Korean	2h 15m		$83,519,699.00
A Letter to Momo	February 10, 2013	 Japanese	2h 0m		$6,748,712.00
Eden	March 11, 2012	 English	1h 38m		
The Pact	June  1, 2012	 English	1h 29m		
Tangled Ever After	January 13, 2012	 English	0h 6m		
The Campaign	August 10, 2012	 English	1h 25m	$95,000,000.00	$104,907,746.00
Bernie	June 16, 2011	 English	1h 39m	$5,000,000.00	$9,206,470.00
A Coffee in Berlin	November 15, 2013	 English	1h 28m	$300,000.00	$2,750,275.00
Parental Guidance	December 25, 2012	 English	1h 44m	$25,000,000.00	$119,772,232.00
Game Change	March  9, 2012	 English	1h 58m		
The Three Stooges	April 13, 2012	 English	1h 32m	$30,000,000.00	$54,819,301.00
Cocktail	July 13, 2012	 Hindi	2h 26m	$6,400,000.00	$18,800,000.00
Side by Side	August 19, 2012	 English	1h 39m		
Passion	September  7, 2012	 English	1h 40m	$30,000,000.00	
The Apparition	August 24, 2012	 English	1h 22m	$17,000,000.00	$9,627,492.00
The Apparition	August 24, 2012	 English	1h 22m	$17,000,000.00	$9,627,492.00
Kon-Tiki	April 26, 2013	 English	1h 58m	$16,600,000.00	
Viva l'Italia	October 25, 2012	 Italian	1h 40m		
Like Someone in Love	February 16, 2013	 Japanese	1h 49m		
The Concubine	June 30, 2013	 Korean	2h 2m		
Lovely Molly	May 18, 2012	 English	1h 40m	$1,000,000.00	
ATM	April  6, 2012	 English	1h 30m	$3,000,000.00	$3,010.00
Evangelion: 3.0 You Can (Not) Redo	January 10, 2014	 Japanese	1h 46m		$60,487,945.00
The Players	April  4, 2014	 French	1h 49m		
Gallowwalkers	October 27, 2012	 English	1h 30m	$17,000,000.00	
Welcome to the North	January 18, 2012	 Italian	1h 50m	$6,000,000.00	$35,000,000.00
On the Other Side of the Tracks	April 11, 2014	 French	1h 36m		$25,109,572.00
Stories We Tell	September  1, 2012	 English	1h 48m		
The Paperboy	October  5, 2012	 English	1h 47m	$12,500,000.00	$1,353,868.00
Wrong	March 25, 2013	 French	1h 34m		
Would You Rather	October 14, 2012	 English	1h 33m		
Struck by Lightning	April 20, 2012	 English	1h 30m		$22,930.00
Barbie in A Mermaid Tale 2	March  6, 2012	 English	1h 14m		$15,489,307.00
Antiviral	April 12, 2013	 English	1h 50m	$2,400,000.00	
The Tall Man	August  1, 2012	 English	1h 46m	$18,200,000.00	
Stars 80	October 24, 2012	 French	1h 50m		
Stars 80	October 24, 2012	 French	1h 50m		
The Guilt Trip	December 19, 2012	 English	1h 35m	$40,000,000.00	$41,863,726.00
The Devil Inside	January  6, 2012	 English	1h 23m	$1,000,000.00	$101,758,490.00
Radio Rebel	February 17, 2012	 English	1h 30m		
A Late Quartet	November  2, 2012	 English	1h 45m		$1,562,546.00
English Vinglish	February 14, 2013	 Hindi	2h 14m	$2,840,000.00	$11,620,000.00
Naruto Shippuden the Movie: Road to Ninja	July 28, 2012	 Japanese	1h 49m		$17,322,136.00
The Lucky One	April 20, 2012	 English	1h 41m	$25,000,000.00	$99,357,138.00
Us in the U.S.	January  3, 2012	 Italian	1h 30m		
Cool Kids Don't Cry	February 15, 2012	 Flemish	1h 45m		
The Worst Christmas of My Life	December 22, 2012	 Italian		$6,843,500.00	$10,703,234.00
In the House	April 19, 2013	 French	1h 45m		$11,879,046.00
Partysaurus Rex	September 14, 2012	 English	0h 7m		
Into the White	April 12, 2013	 English	1h 40m		$704.00
Girl vs. Monster	October 12, 2012	 English	1h 29m		
Stitches	October  5, 2012	 English	1h 26m	$100,000.00	$95,000.00
Compliance	August 24, 2012	 English	1h 30m		$319,285.00
StreetDance 2	March 30, 2012	 English	1h 25m		
Immaturi - Il viaggio	April 25, 2013	 Italian	1h 40m		
Zambezia	July  7, 2012	 English	1h 23m	$20,000,000.00	
Freelancers	August 10, 2012	 English	1h 36m	$11,000,000.00	
Freelancers	August 10, 2012	 English	1h 36m	$11,000,000.00	
Out in the Dark	September 27, 2013	 Hebrew	1h 36m		
The Man with the Iron Fists	November  2, 2012	 English	1h 36m	$15,000,000.00	$15,608,545.00
Alien Tornado	April 21, 2012	 English	1h 25m		
Piazza Fontana: The Italian Conspiracy	March 30, 2012	 Italian	2h 9m		
Every Blessed Day	October 10, 2012	 Italian	1h 42m		
What the Day Owes the Night	September 12, 2012	 French	3h 2m	$17.00	
My First Time	June 29, 2012	 French	1h 35m	$6,180,000.00	
Happiness Never Comes Alone	July  7, 2012	 French	1h 50m	$15,000,000.00	
The Seasoning House	August 21, 2012	 English	1h 29m		
Revenge for Jolly!	May  7, 2013	 English	1h 24m	$10,000,000.00	
Fresh Meat	April 23, 2013	 English	1h 31m		
Resolution	April 20, 2012	 English	1h 33m		
Le Chef	June 20, 2014	 French	1h 24m		$306,724.00
Broken	July 19, 2013	 English	1h 31m		
Smashed	October 12, 2012	 English	1h 25m	$500,000.00	$376,597.00
ACAB - All Cops Are Bastards	January 27, 2012	 Italian	1h 52m	$5,000,000.00	
Frenemies	January 13, 2012	 English	1h 26m		
Searching for Sugar Man	July 27, 2012	 English	1h 25m		
At Any Price	September 27, 2012	 English	1h 45m		
Electrick Children	March  6, 2013	 English	1h 36m		
Electrick Children	March  6, 2013	 English	1h 36m		
The Sapphires	March 22, 2013	 English	1h 43m		
Interview with a Hitman	July 20, 2012	 English	1h 35m		
Bob Marley: Marley	April 20, 2012	 English	2h 24m		
The Liability	January 29, 2013	 English	1h 35m		
Blancanieves	October 11, 2012	 Castilian	1h 44m		$279,735.00
Pokémon the Movie: Kyurem vs. the Sword of Justice	November  8, 2012	 Japanese	1h 11m		$44,057,737.00
Damsels in Distress	April  6, 2012	 English	1h 39m		
2-Headed Shark Attack	January 17, 2012	 English	1h 30m		
Drug War	May 16, 2013	 Cantonese	1h 47m		
Thanks for Sharing	September 19, 2013	 English	1h 52m		$1,065,881.00
Bait	September 14, 2012	 English	1h 33m	$30,000,000.00	
Sightseers	May 10, 2013	 English	1h 28m		$61,782.00
V/H/S	October  5, 2012	 English	1h 56m		$100,345.00
Promised Land	December 28, 2012	 English	1h 46m	$15,000,000.00	$8,138,788.00
Cosmopolis	August 17, 2012	 English	1h 49m	$20,500,000.00	$6,063,556.00
Plan de table	April 10, 2012	 French	1h 24m		
The Dream Team	September 24, 2012	 French	1h 37m		
Conquest 1453	February 16, 2012	 Turkish	2h 40m	$16,000,000.00	
2 Days in New York	August 10, 2012	 English	1h 31m	$8,000,000.00	$1,653,792.00
Nous York	November  6, 2012	 French	1h 38m	$5.00	
